Country,Utility,6M3,15M3,50M3
"UK, England and Wales",Dee Valley Water,17.2,35.91,108.7
"UK, England and Wales",Folkestone & Dover Water,11.66,24.4,73.94
"UK, England and Wales",Mid Kent Water,19.94,42.33,129.39
"UK, England and Wales",NIW,16.03,28.84,78.66
"UK, England and Wales",Northumbrian Water,13.94,27.86,81.99
"UK, England and Wales",Portsmouth Water,9.85,19.23,55.7
"UK, England and Wales",Severn Trent Water,16.15,35.23,109.42
"UK, England and Wales",South East Water,19.94,42.33,129.39
"UK, England and Wales",South Staffordshire Water,13.99,28.13,83.14
"UK, England and Wales",South West Water,19.68,42.4,130.74
"UK, England and Wales",Southern Water,14.27,32.59,103.84
"UK, England and Wales",Sutton & East Surrey Water,12.72,28.34,89.09
"UK, England and Wales",Tendring Hundred Water,14.45,30.83,94.55
"UK, England and Wales",Thames Water,14.45,32.67,103.52
"UK, England and Wales",United Utilities,17.15,38.8,123.01
"UK, England and Wales",Welsh Water,15.04,31.28,94.44
"UK, England and Wales",Wessex Water,18.87,43.07,137.17
"UK, England and Wales",Yorkshire Water,14.96,32.58,101.1
"UK, Scotland",Scottish Water,30.2,41.37,84.84
Ukraine,Alushta,2.62,6.55,21.82
Ukraine,Balaklea,3.73,9.32,31.06
Ukraine,Bashtanka,4.53,11.32,37.73
Ukraine,CE Kremenchukvodokanal,2.73,6.82,22.74
Ukraine,Cherkasy Vodokanal,2.88,7.21,24.02
Ukraine,Chernigivvodokanal,2.94,7.36,24.53
Ukraine,Chervonograd,3.57,8.92,29.74
Ukraine,Chuguev,4.45,11.13,37.09
Ukraine,Chuguev Voda,1.46,3.66,12.2
Ukraine,Dnipro Kirovograd Regional Water Enterprise,5.05,12.63,42.08
Ukraine,Dniprovodokanal,3.13,7.84,26.12
Ukraine,Drohobych,4.91,12.27,40.91
Ukraine,Feodosiya,2.62,6.55,21.82
Ukraine,Gorodok,4.84,12.09,40.31
Ukraine,Ivano-Frankivsk,2.43,6.09,20.29
Ukraine,Izyum,5.65,14.12,47.08
Ukraine,Kharkiv,3.38,8.44,28.14
Ukraine,Kiev Vodokanal,2.8,7.01,23.35
Ukraine,Kmelnytskvodokanal,2.76,6.9,23
Ukraine,Kolomyiavodokanal,5.39,13.47,44.89
Ukraine,Kramatorsk Vodokanal,4.17,10.42,34.73
Ukraine,Kupiansk,4.03,10.07,33.56
Ukraine,Lozovaya,5.99,14.97,49.9
Ukraine,Lviv,3.2,8.01,26.69
Ukraine,Marganec,4.35,10.87,36.22
Ukraine,Mariupol Vodokanal,4.18,10.45,34.84
Ukraine,Mukachevo,4,10,33.33
Ukraine,Mykolayiv,3.53,8.81,29.38
Ukraine,Nikopolvodokanal,2.53,6.33,21.08
Ukraine,Novograd Volynskiy Vodokanal,3.95,9.86,32.88
Ukraine,Novomoskovsk,4.37,10.93,36.44
Ukraine,Novyi Bug,3.56,8.89,29.64
Ukraine,Ordgonikidze,2.17,5.43,18.12
Ukraine,Pavlograd,7.11,17.77,59.22
Ukraine,Pervomaisk,4.53,11.32,37.73
Ukraine,Prylukyteplovodo- postachannia,1.28,3.21,10.7
Ukraine,Rivneoblvodokanal,3.07,7.67,25.58
Ukraine,SUE RC Voda Kryma,1.55,3.88,12.93
Ukraine,SUE Vodokanal,1.64,4.11,13.69
Ukraine,Saky,2.62,6.55,21.82
Ukraine,Sambor,4.28,10.7,35.67
Ukraine,Sevastopol,3.21,8.03,26.76
Ukraine,Stryi,3.43,8.57,28.55
Ukraine,Symferopovodokanal,2.62,6.55,21.82
Ukraine,Ternopil Vodokanal,3.03,7.57,25.25
Ukraine,Truskavets,7.81,19.53,65.1
Ukraine,Uzhgorod,5.32,13.31,44.37
Ukraine,Vodoteploservis,3.01,7.52,25.08
Ukraine,Voznesensk,3.19,7.97,26.57
Ukraine,Yaltavodokanal,2.57,6.43,21.45
Ukraine,Yevpatoriya,2.62,6.55,21.82
Ukraine,Yuzhni,1.91,4.78,15.94
Ukraine,Yuzhno Ukrainsk,3.83,9.57,31.92
Ukraine,Zaporizhye Vodokanal,3.22,8.04,26.8
Ukraine,Zhitomir Vodokanal,2.89,7.23,24.09
United Arab Emirates,ADDC - Abu Dhabi,3.58,8.96,34.05
United Arab Emirates,Ajman (Northern Emirates),6.47,16.18,53.94
United Arab Emirates,DEWA - Dubai,15.47,38.67,136.05
United Arab Emirates,Sharjah,6.47,16.18,53.93
United States,Albany Water Board,9.68,15.68,52.27
United States,Albuquerque Bernalillo County Water Utility Authority,22.52,29.74,57.81
United States,Anchorage,31.57,45.31,98.76
United States,Anne Arundel County Department of Public Works,29.46,38.99,76.06
United States,Aqua Pennsylvania America Inc.,34.88,64.04,180.62
United States,Aquarion Water Company of Connecticut,21.86,35.32,87.65
United States,Aquarion Water Company of Massachusetts,37.76,56.05,134.34
United States,Aquarion Water Company of New Hampshire,25.21,39.63,95.69
United States,Atlanta Department of Watershed Management,12.03,26.57,102.13
United States,Augusta-Richmond County Utilities Department,21.7,25.98,63.72
United States,Aurora Department of Public Works,21.92,35.31,91.66
United States,Austin Water Utility,13.4,26.81,134.41
United States,Baltimore Bureau of Water and Wastewater,25.86,37.75,83.98
United States,Beaufort-Jasper Water and Sewer Authority,15.35,24.05,57.89
United States,Billings Public Works,14.6,23.82,62.14
United States,Birmingham Water Works Board,31.9,43.34,100.18
United States,Boise Department of Public Works,14.86,19.93,39.66
United States,Boston Water and Sewer Commission,12.63,31.57,113.34
United States,Cal Water,22.38,28.24,52.73
United States,Chandler Municipal Utilities Department,11.93,15.94,33.09
United States,Charles County Department of Utilities,16.98,29.16,140.07
United States,Charleston Water System,13.9,20.57,46.53
United States,Charlotte-Mecklenburg Utilities,10.37,16.7,82.19
United States,Chesterfield County Department of Utilities,18.03,25.53,54.7
United States,Chicago,6.85,17.13,57.09
United States,City of Fargo Utilities,8.8,17.44,58.12
United States,City of Fort Worth Water Department,16.74,23.7,61.03
United States,Clayton County Water Authority,15.93,26.09,96.4
United States,Clermont County Water & Sewer District,9,13.22,61.29
United States,Cleveland Division of Water,14.01,25.82,71.72
United States,Coachella Valley Water District,14.64,17.63,35.48
United States,College utilities corporation,38.81,58.47,134.94
United States,Colorado Springs Utilities,32.93,47.43,118.13
United States,Columbia Department of Utilities & Engineering,18.06,27.15,62.5
United States,Columbus Department of Public Utilities,15.85,26.19,70.44
United States,Connecticut Water Company,31.46,58.61,171.46
United States,DC Water,23.33,38.69,106.55
United States,Dallas Department of Water Utilities,8.47,12.99,59.22
United States,Denver Water,21.07,26.87,65.44
United States,Department of Public Utilities,21.21,32.94,78.55
United States,Des Moines Water Works,14.62,27.56,62.75
United States,Detroit Water and Sewerage Department,13.5,21.95,54.83
United States,Durham Department of Water Management,13.39,23.87,84.94
United States,EPCOR - Agua Fria,25.37,33,74.95
United States,EPCOR - Chaparral,24.28,31.26,68.59
United States,EPCOR - Clovis,21.29,30.63,75.64
United States,EPCOR - Edgewood,30.24,44.42,116.92
United States,EPCOR - Havasu,33.96,42.56,93.04
United States,EPCOR - North Mohave,12.29,17.52,37.86
United States,EPCOR - Paradise Valley,28.69,31.26,42.97
United States,EPCOR - Thunder Mountain,32.11,45.78,101.86
United States,EPCOR - Tubac,44.81,55.15,111.44
United States,EPCOR - Willow Valley,37.45,49.43,125.13
United States,Eastern Municipal Water District,23.57,35.17,150.99
United States,El Paso Water Utilities,8.7,12.1,54
United States,Emerald Coast Utilities Authority,20.12,27.52,56.3
United States,Fayetteville Public Works Commission Water Utility,23.34,29.15,61.89
United States,Fort Wayne City Utilities,16.69,24.8,56.32
United States,Fresno Water & Wastewater Division,17.19,22.72,44.22
United States,Garland Water Utilities,30.06,42.51,96.88
United States,Golden heart utilities,38.81,58.47,134.94
United States,Great Oaks Water Company,24.06,38.3,106.38
United States,Greensboro Water Resources Department,9.39,19.31,68.28
United States,Greenville Utilities,15.56,26.9,71.01
United States,Gwinnett County Water Resources,15.88,28.46,94.35
United States,Henderson Department of Utility Services,16.65,20.31,40.97
United States,Henrico County Department of Public Utilities,15.43,26.84,71.21
United States,Hialeah Department of Water and Sewer,9.96,17.07,47.25
United States,Hillsborough County Water Resource Service,21.47,30.68,78.85
United States,Honolulu Board of Water Supply,19.16,31.31,84.18
United States,Houston,9.51,35.23,102.18
United States,Huntsville Utilities,14.45,17.98,36.56
United States,Indian Hills,36,52.36,316.93
United States,Indian Wells Valley,44.6,47.2,62.36
United States,Irvine Ranch Water District,14.69,21.76,120.85
United States,Jacksonville Energy Authority,16.49,19.87,46.61
United States,Kansas City Water Services Department,26.29,42.63,112.8
United States,Lee County Utilities,17.77,25.55,62.68
United States,Lincoln Public Works/Utilities Department,11.66,16.95,44.31
United States,Long Beach Water Department,28.1,35.84,101.89
United States,Los Angeles Department of Public Works,17,42.5,155.86
United States,Louisville Water Company,17.23,25.63,63.02
United States,Lubbock Water Utilities,20.86,30.44,96.29
United States,MAWSS,13.52,18.61,50.79
United States,MWWSSB,35.24,35.24,97.58
United States,Manatee County Utilities Operations Department,13.47,19.06,45.04
United States,"Memphis Light, Gas and Water",15.19,22.8,52.37
United States,Mesa Utilities Department,29.23,32.43,73.43
United States,Metropolitan District Commission,23.65,36.65,87.2
United States,Miami-Dade Water and Sewer Department,4.22,12.08,57.57
United States,Milwaukee Water Works,13.88,20.69,47.14
United States,Minneapolis Public Works Department,15.11,26.8,72.29
United States,Nashville and Davidson County Metro Water Services,7.09,21.41,98.02
United States,New York City Water and Sewer System,14.95,23.08,76.23
United States,North Miami Beach Public Utilities,21.57,31.48,70.04
United States,Oklahoma City Utilities,23.44,32.55,74.01
United States,Onslow Water and Sewer Authority,21.86,30.79,72.59
United States,Orange County Utilities,10.03,13.52,35.38
United States,Pasco County Utility Department,13.33,18.1,56.64
United States,Phoenix Water Services Department,7.96,10.03,67.1
United States,Pinellas County Utilities,14.93,27.13,74.56
United States,Pittsburgh Water and Sewer Authority,34.66,65.81,186.93
United States,Portland Water Bureau,33.4,54.03,134.29
United States,Prince William County Service Authority,12.32,20.52,53.35
United States,Public Works Department,26.77,26.77,59.92
United States,Raleigh Public Utilities Department,13.85,25,92.72
United States,Reedy Creek Improvement District,26.02,28.53,38.3
United States,Richmond Department of Public Utilities,22.1,34.76,104.35
United States,Sacramento Department of Utilities,38.81,43.45,61.48
United States,Saint Paul Regional Water Services,14.98,26.2,69.83
United States,Salt Lake City Department of Public Utilities,15.13,20.54,41.55
United States,San Antonio Water System,13.99,16.29,37.29
United States,San Diego Public Utilities Department,38.56,56.62,146.29
United States,San Francisco Public Utilities Commission,35.51,67.46,199.84
United States,Sarasota County Utilities,21.99,28.17,75.47
United States,Scottsdale Water & Wastewater Treatment,17.82,22.09,52.11
United States,Seattle Public Utilities,30.78,48.45,117.17
United States,Sewerage and Water Board of New Orleans,17.88,35.59,126.85
United States,Southwest Water Company,28.34,43.59,102.91
United States,Spokane Water Department,51.15,52.26,62.55
United States,St Petersburg Water Resources Department,22.97,35.13,105.51
United States,Tacoma Public Utilities,30.51,37.52,64.8
United States,Tallahassee Water Utility,13.61,16.56,41.4
United States,Tampa Water & Wastewater Department,9.19,17.1,61.49
United States,The Utilities Department of North Las Vegas,14.98,20.07,44.4
United States,Tucson Water,28.92,40.4,121.52
United States,Washington Suburban Sanitary Commission,19.26,34.94,113.71
United States,Western Virginia Water Authority,18.07,25.68,64.28
United States,Winston-Salem County Utilities,13.77,22.84,70.84
Uruguay,"OSE, Uruguay",17.68,13.85,135.83
Uzbekistan,Andizhon Suvokova,0.22,0.56,1.85
Uzbekistan,Bukhara Suvokova,1.47,3.68,12.25
Uzbekistan,Dzhizak Suvokova,1.5,3.75,12.5
Uzbekistan,Ferghana Suvokava,0.6,1.5,5
Uzbekistan,Kashkadarya  Suvokova,0.54,1.35,4.5
Uzbekistan,Namanghan Suvokava,1.53,3.83,12.75
Uzbekistan,Navoi Suvokava,1.8,4.5,15
Uzbekistan,Samarkand Suvokava,1.11,2.78,9.25
Uzbekistan,Syrdarya Suvokova,0.75,1.88,6.25
Uzbekistan,Tashkent Suvsoz,0.3,0.75,2.5
Vanuatu,Unelco Vanuatu,9.22,16.52,53.87
Venezuela,ADEYARACUY,3.69,3.69,18.45
Venezuela,CAPITAL,5.41,5.41,27.03
Venezuela,CENTRO,5.41,5.41,27.03
Vietnam,"BINHDINH WASUDRACO, Quy Nhon City",1.51,3.77,16.17
Vietnam,"BIWASE, Thu Dau Mot City",2.52,6.3,21
Vietnam,"BLAOWACO, Bao Loc City",1.63,4.68,19.84
Vietnam,"BTREWACO, Ben Tren City",2.3,5.76,19.2
Vietnam,"BWACO, Vung Tau City",2.14,6.2,24.57
Vietnam,"Bawaco, Bac Lieu City",1.58,4.22,15.94
Vietnam,"CADOCO, Cam Ranh City",1.83,5.39,24.78
Vietnam,"CanTho WSSC, Can Tho City",1.32,3.56,14.92
Vietnam,"DOWASEN Ltd., Cao Lanh City",2.04,5.1,17
Vietnam,"Hanoi WSC, Ha Noi City",1.51,3.99,22.49
Vietnam,"HueWACO, Hue City",1.64,4.52,21.07
Vietnam,"LAWACO, Tan An City",2.04,5.1,17
Vietnam,"POWACO, Long Xuyen City",1.35,3.65,17.6
Vietnam,"PYWASUDCO, Tuy Hoa City",1.68,4.6,20.2
Vietnam,"Phumywasuco, Phu My Town",2.04,5.9,23.4
Vietnam,"QUANGNAM WDS.Co, Tam Ky City",1.92,4.8,16
Vietnam,"Quawaco, Ha Long City",1.89,5.12,20.83
Vietnam,"SAWACO, Ho Chi Minh City",1.51,3.78,22.05
Vietnam,"VIWACO, Ha Noi City",1.51,3.99,22.49
Wallis and Futuna,EEWF,10.51,16.02,81.85
West Bank and Gaza,Ad-Dahiriya,17.35,29.01,74.33
West Bank and Gaza,Al Kafriyyat,5.44,13.6,47.79
West Bank and Gaza,Al Yassriya,7.77,19.43,64.75
West Bank and Gaza,Al Zababdeh,9.58,20.07,88.06
West Bank and Gaza,Al-Auja,5.44,13.6,45.33
West Bank and Gaza,Al-Ittihad,15.54,29.53,83.92
West Bank and Gaza,Al-Ubeidiya,14.25,25.9,71.23
West Bank and Gaza,Al-Zawya,5.44,13.6,45.33
West Bank and Gaza,Anabta,5.05,12.04,40.08
West Bank and Gaza,Arraba,11.66,22.14,70.71
West Bank and Gaza,As Samu’,7.77,19.43,150.22
West Bank and Gaza,Ash Shuyukh,12.95,24.61,69.93
West Bank and Gaza,Asira Ash Shamaliya,9.95,24.86,110.85
West Bank and Gaza,Attil,3.11,7.77,31.08
West Bank and Gaza,Azzoun,3.89,9.71,34.32
West Bank and Gaza,Bala'A,,,
West Bank and Gaza,Bani Naim,7.77,19.43,64.75
West Bank and Gaza,Bani Zaid Al-Gharbiya,18.65,27.97,64.23
West Bank and Gaza,Baqa Al Sharqiya W Al Nazlat,8.29,12.95,31.08
West Bank and Gaza,Beit Fajjar,7.77,19.43,64.75
West Bank and Gaza,Beit Furik,9.58,20.2,83.66
West Bank and Gaza,Beit Leed,7.77,19.43,64.75
West Bank and Gaza,Beit Liqia,7.77,19.43,64.75
West Bank and Gaza,Beit Ula,7.77,19.43,64.75
West Bank and Gaza,Beit Ummar,11.66,23.31,68.64
West Bank and Gaza,Beita,6.22,16.84,64.62
West Bank and Gaza,Beituniya,18.91,31.73,81.59
West Bank and Gaza,Bethlehem WSSA,14.12,25.9,88.71
West Bank and Gaza,Biddya,6.22,15.54,51.8
West Bank and Gaza,Birqin,11.66,24.61,99.72
West Bank and Gaza,Bruqin,11.66,24.61,99.72
West Bank and Gaza,Deir Al Ghosoon,9.84,15.67,38.33
West Bank and Gaza,Deir Ballout,5.44,13.6,45.33
West Bank and Gaza,Deir Istya,6.22,15.54,51.8
West Bank and Gaza,Dura,7.77,19.43,110.72
West Bank and Gaza,Hableh,4.92,8.42,22.02
West Bank and Gaza,Halhul,14.25,25.9,71.23
West Bank and Gaza,Hebron water &sanitation dept.,6.22,15.54,59.57
West Bank and Gaza,Howwara,9.32,23.31,82.88
West Bank and Gaza,Idhna,6.22,15.54,51.8
West Bank and Gaza,Illar,4.66,11.66,38.85
West Bank and Gaza,Jaba’,13.21,24.86,88.32
West Bank and Gaza,Jammain,6.22,15.54,51.8
West Bank and Gaza,Janata (Beit Falouh + Al Asakra),6.22,15.54,51.8
West Bank and Gaza,Jayyous,6.22,15.54,51.8
West Bank and Gaza,Jenin,12.85,22.96,62.31
West Bank and Gaza,Jericho,9.32,11.66,20.72
West Bank and Gaza,Jerusalem Water Undertaking,6.99,17.48,69.93
West Bank and Gaza,Jsc For Reef Dura,6.99,17.48,80.29
West Bank and Gaza,Jsc For W & Ww For The Area Of North West Of Jerusalem,11.66,23.31,71.23
West Bank and Gaza,Kafr Al-Deek,6.22,15.54,69.93
West Bank and Gaza,Kafr Allabad,4.66,11.66,45.97
West Bank and Gaza,Kharas,7.77,19.43,64.75
West Bank and Gaza,Kifel Haris,8.55,17.87,61.9
West Bank and Gaza,Kufur Ra’Ie,6.99,17.48,79.64
West Bank and Gaza,Kufur Thulth,6.22,15.54,58.92
West Bank and Gaza,Marj Ibn Amer,6.6,16.51,55.04
West Bank and Gaza,Maythaloun,6.22,16.58,92.98
West Bank and Gaza,Nablus WSSD,6.18,18.98,112.35
West Bank and Gaza,Ni’Lin,6.22,15.54,56.72
West Bank and Gaza,Nuba,10.36,19.68,55.94
West Bank and Gaza,Qabalan,9.32,23.31,93.24
West Bank and Gaza,Qabatiya,11.91,23.57,72.78
West Bank and Gaza,Qaffin,6.22,10.88,29.01
West Bank and Gaza,Qalqilia,6.35,8.09,15.6
West Bank and Gaza,Qarawa Bani Hassan,9.84,19.17,55.43
West Bank and Gaza,Sabastia,5.44,13.6,56.98
West Bank and Gaza,Salfit,14.5,22.66,56.98
West Bank and Gaza,Sa’Ir,12.02,24.61,79
West Bank and Gaza,Silat Ad Dahr,12.95,24.61,160.58
West Bank and Gaza,Surif,6.22,15.54,56.98
West Bank and Gaza,Taffuh,6.99,17.48,58.28
West Bank and Gaza,Tarqumiya,7.77,19.43,64.75
West Bank and Gaza,Tubas WSSD,8.81,19.43,95.83
West Bank and Gaza,Tuqu',,,
West Bank and Gaza,WSSD of Tulkarem,8.29,14.12,41.96
West Bank and Gaza,Yatta,6.22,15.54,60.87
West Bank and Gaza,Ya’Bad,7.3,18.26,60.87
West Bank and Gaza,Za'Tara,,,
West Bank and Gaza,Zeita,5.44,8.94,22.53
Zambia,Chambeshi WSC,3.29,8.47,38.46
Zambia,Eastern WSC,2.65,7.31,31.58
Zambia,Kafubu WSC,3.13,6.99,27.09
Zambia,LWSC - Chirundu,2.79,7.17,26.07
Zambia,LWSC - Chongwe,2.79,6.25,20.5
Zambia,LWSC - Kafue,2.79,6.25,20.5
Zambia,LWSC - Luangwa,2.79,6.25,20.5
Zambia,Luapula WSC,3.49,9.43,36.8
Zambia,Lukanga WSC,2.51,5.83,24.04
Zambia,Lusaka WSC,3.88,9.34,32.21
Zambia,Mulonga WSC,3.37,7.57,26
Zambia,Nkana WSC,3.15,7.71,27.57
Zambia,North Western WSC,2.87,7.4,35.27
Zambia,SWSC,2.3,6.13,23.49
Zambia,WWSC,3.43,9.11,37.06
Zimbabwe,GCC,9.8,17,65
Zimbabwe,Harare,4.98,12.95,53.6
