lat,lon,corrected_best_combined_lcow_usd_m3,corrected_hydrogel_thickness_mm,corrected_vapor_gap_mm,corrected_fin_area_ratio,original_best_combined_lcow_usd_m3,original_design_corrected_lcow_usd_m3,regret_frac,design_changed
-54.0,-72.0,17.784534479050603,1.191944425701381,30.272831701184476,12.0,28.138123539022192,17.8438790839798,0.0033368658032125052,True
-54.0,-69.0,14.773842202345794,1.9173182696325755,51.44904637815667,12.0,23.864190617870467,14.785039204629964,0.0007578937239760452,True
-51.0,-75.0,21.547442962010475,1.207693200666257,28.074418085143435,12.0,34.02374177645823,21.576262326573772,0.001337484202376479,True
-51.0,-72.0,12.32567064324444,1.982172852973055,58.15829298044114,11.129749496619104,19.98843375432831,12.380004514290347,0.00440818780726442,True
-48.0,-75.0,16.522074453949834,1.1521374886751137,31.103481290821442,4.916147117998203,26.178721701750465,16.601318294821787,0.004796240392985821,True
-48.0,-72.0,13.599424952166288,1.6988558393083877,58.15829343650927,11.129749565061253,21.8985672950388,13.681726530228337,0.006051842511836432,True
-48.0,-69.0,11.721691822080418,2.185869212943178,60.0,12.0,19.074863528662544,11.725166260807931,0.0002964110283951289,True
-48.0,-66.0,11.271944187059832,2.5649278259180535,60.0,12.0,18.455221160961695,11.35607050602683,0.007463337075743766,True
-45.0,-72.0,12.362862260180354,1.9958837579484532,52.616168780086944,11.414163059164329,19.989502396311156,12.414958908241143,0.00421396331726417,True
-45.0,-69.0,11.407127514355066,2.1798329360649937,60.0,12.0,18.599835648108854,11.435146503324683,0.0024562703392555945,True
-45.0,-66.0,10.606004303382521,2.4534522185772194,60.0,12.0,17.39898637782892,10.62863029214754,0.002133318836934847,True
-45.0,168.0,9.945493427499065,1.8126304347856488,55.80006824635003,12.0,16.044522913258557,9.976768048146758,0.003144602213623652,True
-45.0,171.0,9.190842699267805,2.224511915080736,59.06941908866546,12.0,15.004093268667363,9.216868293414572,0.0028316874739724705,True
-42.0,-72.0,9.78373212964645,2.043880969308343,60.0,12.0,15.86131743690201,9.790023101867627,0.0006430033179377014,True
-42.0,-69.0,9.407276618293718,2.288477458964228,60.0,12.0,15.362515417109195,9.415776391701998,0.0009035317821686208,True
-42.0,-66.0,9.755811409069187,2.55679970770011,59.99999971284371,11.999999999343682,16.037227407219014,9.790807304263604,0.003587184471594424,True
-42.0,147.0,7.728366287693615,2.1880565489089165,45.42592184612119,12.0,12.605638425745655,7.7515964197286635,0.0030058269976203636,True
-42.0,174.0,8.040513290968104,2.4351669860363487,59.06941963418909,12.0,13.216492327884556,8.07104463252395,0.003797188121079582,True
-39.0,-72.0,9.122475212454646,2.0499524581497734,58.15829371011096,11.129749743951352,14.830093379274548,9.166621641314023,0.00483930378885612,True
-39.0,-69.0,10.640013039615114,2.2593989910569907,59.999999866686,11.9999999954578,17.40497101281178,10.660622402474994,0.001936967819789896,True
-39.0,-66.0,9.087126006532545,2.5915078220606507,60.0,12.0,15.018805246563884,9.09647702341093,0.0010290400806221038,True
-39.0,-63.0,7.678796029075849,2.652960061465027,59.999999964136826,11.999999980284189,12.679025960681951,7.71476172767047,0.00468376793164407,True
