lat,lon,hydrogel_thickness_mm,vapor_gap_mm,fin_area_ratio,insulation_gap_mm,tilt_deg,salt,salt_loading,case,warmup_method,resolution,best_combined_lcow_usd_m3,n_evals,stopped_reason,wall_time_s,improvement_vs_baseline_frac,flagged_as_surrogate_artifact,max_neighbor_improvement_frac,cv_rmse,standardized_residual_mean,standardized_residual_std,msll_gp_minus_trivial,n_hyperparameter_warnings,n_de_calls,frac_de_hit_maxiter,frac_de_not_success
6.0,36.0,2.972534812609467,59.999999844731754,11.9999999887071,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.938192,36,stalled,673.9,0.04142590641452348,False,-0.002089,0.12785038657948283,0.1421181394719549,1.277478587511645,-3.8673095382982527,3,12,0.0,0.0
6.0,39.0,2.2620049823282775,59.83432724207119,11.99999995786013,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.596076,33,stalled,512.3,0.06810921916240902,False,-0.000945,0.07857873275761365,0.26877545401709996,2.3033602910619404,-2.1696065669153923,4,9,0.0,0.0
6.0,42.0,2.927298220516486,59.99999985229366,11.99999973137491,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,9.244236,36,stalled,685.1,0.041079577175006356,False,-0.001515,0.16988121790191898,0.24033255600321504,1.572211622866416,-2.9850142271417024,4,12,0.0,0.0
6.0,45.0,2.992982332694807,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,8.110266,36,stalled,673.3,0.03426819911633835,False,-0.000802,0.15170302451861356,0.21890019379949652,1.361797554210321,-3.5003612253028433,4,12,0.0,0.0
6.0,48.0,3.0285977352229234,59.999999980972426,11.99999989020124,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.801304,36,stalled,676.6,0.03612129857534729,False,-0.001772,0.09215031898860448,0.15361506665702257,1.024971087871917,-3.9868326018842017,4,12,0.0,0.0
6.0,102.0,1.8381033177269097,25.322596712691528,11.999993875426233,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.666084,33,stalled,484.9,0.14348433810282318,False,-0.002878,1.225602302770284,-0.15313938712831673,2.3971196793327274,-0.40676698931661326,4,9,0.0,0.0
6.0,117.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.865954,33,stalled,502.7,0.1380146058508284,False,0.003345,2.9668518641815482,5.254806732968299,36.887137910244554,691.3790848890527,2,9,0.0,0.0
9.0,-78.0,1.4463584590327083,59.06587341332302,9.970163871494666,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.655722,33,stalled,506.9,0.1617776921848108,False,0.002593,7.284977160186453,0.6442038078807987,3.963222932553298,5.547958754487037,4,9,0.0,0.0
9.0,-75.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.357928,33,stalled,493.6,0.12002462307492545,False,-0.002785,1.0408260927402442,0.49042979987127844,7.667346363087381,26.433330369305384,2,9,0.0,0.0
9.0,-72.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.174751,33,stalled,492.2,0.12413589685565297,False,-0.003302,3.3070443737350517,3.593183906270183,26.068616147560657,343.5978864803198,4,9,0.0,0.0
