lat,lon,standard_best_combined_lcow_usd_m3,standard_hydrogel_thickness_mm,simplified_best_combined_lcow_usd_m3,simplified_hydrogel_thickness_mm,lcow_reduction_frac,optimal_design_changed
-54.0,-72.0,17.784534479050603,1.191944425701381,17.724481909097292,1.191944425701381,0.0033766737062501904,False
-54.0,-69.0,14.773842202345794,1.9173182696325755,14.697908404601689,1.9173182696325755,0.005139746093406074,False
-51.0,-75.0,21.547442962010475,1.207693200666257,21.473813712675696,1.207693200666257,0.003417075959527638,False
-51.0,-72.0,12.32567064324444,1.982172852973055,12.26049007269353,1.982172852973055,0.005288196678095902,False
-48.0,-75.0,16.522074453949834,1.1521374886751137,16.46393649207582,1.3598306893413707,0.003518805222434702,True
-48.0,-72.0,13.599424952166288,1.6988558393083877,13.527377331541032,1.9958837579484532,0.005297843171948161,True
-48.0,-69.0,11.721691822080418,2.185869212943178,11.654346499571773,2.185869212943178,0.005745358565201757,False
-48.0,-66.0,11.271944187059832,2.5649278259180535,11.197988413636288,2.5649278259180535,0.006561048581880375,False
-45.0,-72.0,12.362862260180354,1.9958837579484532,12.297099262755925,1.9958837579484532,0.005319399022687917,False
-45.0,-69.0,11.407127514355066,2.1798329360649937,11.341741793989724,2.1798329360649937,0.005732005737908891,False
-45.0,-66.0,10.606004303382521,2.4534522185772194,10.538913486734263,2.4534522185772194,0.0063257391501210045,False
-45.0,168.0,9.945493427499065,1.8126304347856488,9.89678949872637,1.8126304347856488,0.004897085210275115,False
-45.0,171.0,9.190842699267805,2.224511915080736,9.137254908745035,2.224511915080736,0.0058305633418183084,False
-42.0,-72.0,9.78373212964645,2.043880969308343,9.730624728798173,2.043880969308343,0.005428133164782081,False
-42.0,-69.0,9.407276618293718,2.288477458964228,9.35110990773507,2.288477458964228,0.005970560114010456,False
-42.0,-66.0,9.755811409069187,2.55679970770011,9.691969216621642,2.55679970770011,0.006544016665614946,False
-42.0,147.0,7.728366287693615,2.1880565489089165,7.683926680119418,2.1880565489089165,0.005750194273912839,False
-42.0,174.0,8.040513290968104,2.4351669860363487,7.989481024995695,2.4740048225487095,0.006346891563469362,True
-39.0,-72.0,9.122475212454646,2.0499524581497734,9.072832224680266,2.0499524581497734,0.005441833122944958,False
-39.0,-69.0,10.640013039615114,2.2593989910569907,10.57684945548172,2.2734966363990434,0.005936419804959199,True
