water_price_usd_per_m3,discount_rate,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
1.0,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-14643.74975498081,inf,inf
2.7142857142857144,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-12998.519213068881,inf,inf
4.428571428571429,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-11353.288671156948,inf,inf
6.142857142857142,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-9708.058129245017,inf,inf
7.857142857142857,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-8062.827587333085,181.60794875094538,inf
9.571428571428571,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-6417.597045421153,51.55373107723085,inf
11.285714285714285,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-4772.366503509223,30.04075681947439,inf
13.0,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-3127.1359615972906,21.195879728356715,48.00501857718302
14.714285714285714,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,-1481.9054196853585,16.374691742416193,27.132987572682296
16.428571428571427,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,163.32512222656987,13.340319538409775,19.447352882310287
18.142857142857142,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,1808.5556641385065,11.254722061290046,15.251647262000636
19.857142857142858,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,3453.7862060504376,9.733073791493199,12.574657173519634
21.57142857142857,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,5099.016747962367,8.573877986202955,10.708702563538557
23.285714285714285,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,6744.247289874298,7.661414031068038,9.33030979732333
25.0,0.04,21.497021836022054,0.0016638301493752347,10.0,16.258391069633696,8389.47783178623,6.924484644383018,8.26903743170133
1.0,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-14354.723247428716,inf,inf
2.7142857142857144,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-12789.69768250158,inf,inf
4.428571428571429,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-11224.672117574442,inf,inf
6.142857142857142,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-9659.646552647308,inf,inf
7.857142857142857,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-8094.620987720171,181.60794875094538,inf
9.571428571428571,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-6529.595422793034,51.55373107723085,inf
11.285714285714285,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-4964.5698578658985,30.04075681947439,inf
13.0,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-3399.544292938762,21.195879728356715,77.67981142044404
14.714285714285714,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-1834.5187280116243,16.374691742416193,30.884446732926857
16.428571428571427,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,-269.49316308449124,13.340319538409775,21.055989888135244
18.142857142857142,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,1295.532401842649,11.254722061290046,16.16501908965712
19.857142857142858,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,2860.5579667697857,9.733073791493199,13.16952207306639
21.57142857142857,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,4425.5835316969205,8.573877986202955,11.129620745999137
23.285714285714285,0.045714285714285714,21.497021836022054,0.0016638301493752347,10.0,16.723766784860285,5990.609096624055,7.661414031068038,9.645289506656178
