water_price_usd_per_m3,hydrogel_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
1.0,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-13107.498161532934,inf,inf
2.7142857142857144,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-11918.923614483128,inf,inf
4.428571428571429,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-10730.349067433322,inf,inf
6.142857142857142,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-9541.774520383517,inf,inf
7.857142857142857,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-8353.19997333371,236.4984752608725,inf
9.571428571428571,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-7164.625426283903,55.18998834638346,inf
11.285714285714285,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-5976.050879234098,31.240140244735073,inf
13.0,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-4787.476332184291,21.78603157941188,inf
14.714285714285714,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-3598.901785134485,16.72468960961294,inf
16.428571428571427,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-2410.327238084681,13.571704335361325,inf
18.142857142857142,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-1221.7526910348715,11.418968456245675,31.805870733816775
19.857142857142858,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,-33.17814398506562,9.855668093055767,20.18307152735443
21.57142857142857,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,1155.3964030647385,8.668867101361073,15.36580159789824
23.285714285714285,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,2343.970950114546,7.737171482038692,12.537342424700478
25.0,0.5,21.497021836022054,0.0016638301493752347,10.0,19.904995823622553,3532.545497164352,6.98631041425658,10.63518134456191
1.0,0.6071428571428571,21.497021836022054,0.0016638301493752347,10.0,19.849329793887005,-13068.902946319697,inf,inf
2.7142857142857144,0.6071428571428571,21.497021836022054,0.0016638301493752347,10.0,19.849329793887005,-11880.328399269893,inf,inf
