water_price_usd_per_m3,t_wh_in_c,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
1.0,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-13623.00223214025,inf,inf
2.7142857142857144,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-13505.611422881559,inf,inf
4.428571428571429,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-13388.220613622867,inf,inf
6.142857142857142,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-13270.829804364177,inf,inf
7.857142857142857,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-13153.438995105484,inf,inf
9.571428571428571,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-13036.048185846794,inf,inf
11.285714285714285,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12918.6573765881,inf,inf
13.0,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12801.26656732941,inf,inf
14.714285714285714,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12683.875758070719,inf,inf
16.428571428571427,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12566.484948812027,inf,inf
18.142857142857142,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12449.094139553335,inf,inf
19.857142857142858,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12331.703330294644,inf,inf
21.57142857142857,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12214.312521035952,inf,inf
23.285714285714285,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-12096.92171177726,inf,inf
25.0,50.0,10.615879316304433,0.0012280365247659547,2.0,199.9399192039616,-11979.53090251857,inf,inf
1.0,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-13622.734469102812,inf,inf
2.7142857142857144,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-13504.884637494228,inf,inf
4.428571428571429,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-13387.034805885643,inf,inf
6.142857142857142,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-13269.184974277057,inf,inf
7.857142857142857,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-13151.335142668473,inf,inf
9.571428571428571,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-13033.485311059889,inf,inf
11.285714285714285,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12915.635479451303,inf,inf
13.0,51.142857142857146,10.657389600633554,0.0011592361089979523,2.0,199.16115787451392,-12797.785647842718,inf,inf
