h_des_j_per_kg,salt_formula_weight_g_mol,hydrogel_lifetime_years,daily_yield_kg_m2,thermal_efficiency,lcow_usd_per_m3,capex_usd_per_m3,opex_usd_per_m3
1800000.0,35.0,0.5,1.7410648686144696,0.22180836845844784,19.898349131491365,8.460677775094135,11.43767135639723
1800000.0,35.0,0.875,1.7410648686144696,0.22180836845844784,15.352496471161713,8.460677775094135,6.8918186960675785
1800000.0,35.0,1.25,1.7410648686144696,0.22180836845844784,13.534155407029854,8.460677775094135,5.0734776319357175
1800000.0,35.0,1.625,1.7410648686144696,0.22180836845844784,12.555048680189621,8.460677775094135,4.094370905095485
1800000.0,35.0,2.0,1.7410648686144696,0.22180836845844784,11.943106975914477,8.460677775094135,3.48242920082034
1800000.0,38.75,0.5,1.7410648286414707,0.22180836336596346,19.898349588336323,8.460677969342312,11.437671618994015
1800000.0,38.75,0.875,1.7410648286414707,0.22180836336596346,15.352496823638724,8.460677969342312,6.891818854296415
1800000.0,38.75,1.25,1.7410648286414707,0.22180836336596346,13.534155717759685,8.460677969342312,5.073477748417375
1800000.0,38.75,1.625,1.7410648286414707,0.22180836336596346,12.555048968440204,8.460677969342312,4.094370999097892
1800000.0,38.75,2.0,1.7410648286414707,0.22180836336596346,11.943107250115528,8.460677969342312,3.4824292807732156
1800000.0,42.5,0.5,1.7410648284065307,0.22180836333603254,19.898349591021418,8.460677970484,11.437671620537419
1800000.0,42.5,0.875,1.7410648284065307,0.22180836333603254,15.352496825710398,8.460677970484,6.891818855226401
1800000.0,42.5,1.25,1.7410648284065307,0.22180836333603254,13.534155719585991,8.460677970484,5.0734777491019925
1800000.0,42.5,1.625,1.7410648284065307,0.22180836333603254,12.555048970134388,8.460677970484,4.094370999650388
1800000.0,42.5,2.0,1.7410648284065307,0.22180836333603254,11.943107251727136,8.460677970484,3.4824292812431357
1800000.0,46.25,0.5,1.7410648286414707,0.22180836336596346,19.898349588336323,8.460677969342312,11.437671618994015
1800000.0,46.25,0.875,1.7410648286414707,0.22180836336596346,15.352496823638724,8.460677969342312,6.891818854296415
1800000.0,46.25,1.25,1.7410648286414707,0.22180836336596346,13.534155717759685,8.460677969342312,5.073477748417375
1800000.0,46.25,1.625,1.7410648286414707,0.22180836336596346,12.555048968440204,8.460677969342312,4.094370999097892
1800000.0,46.25,2.0,1.7410648286414707,0.22180836336596346,11.943107250115528,8.460677969342312,3.4824292807732156
1800000.0,50.0,0.5,1.7410648686144696,0.22180836845844784,19.898349131491365,8.460677775094135,11.43767135639723
1800000.0,50.0,0.875,1.7410648686144696,0.22180836845844784,15.352496471161713,8.460677775094135,6.8918186960675785
1800000.0,50.0,1.25,1.7410648686144696,0.22180836845844784,13.534155407029854,8.460677775094135,5.0734776319357175
1800000.0,50.0,1.625,1.7410648686144696,0.22180836845844784,12.555048680189621,8.460677775094135,4.094370905095485
1800000.0,50.0,2.0,1.7410648686144696,0.22180836845844784,11.943106975914477,8.460677775094135,3.48242920082034
2150000.0,35.0,0.5,1.6444953725753686,0.2095055974673053,21.066837396330673,8.957513096831367,12.109324299499308
2150000.0,35.0,0.875,1.6444953725753686,0.2095055974673053,16.254039199354605,8.957513096831367,7.296526102523237
2150000.0,35.0,1.25,1.6444953725753686,0.2095055974673053,14.328919920564175,8.957513096831367,5.371406823732811
2150000.0,35.0,1.625,1.6444953725753686,0.2095055974673053,13.292317231984716,8.957513096831367,4.33480413515335
2150000.0,35.0,2.0,1.6444953725753686,0.2095055974673053,12.644440551622553,8.957513096831367,3.6869274547911863
2150000.0,38.75,0.5,1.6444930515080565,0.20950530176772345,21.066867130446926,8.957525739627755,12.109341390819173
2150000.0,38.75,0.875,1.6444930515080565,0.20950530176772345,16.254062140600222,8.957525739627755,7.296536400972468
2150000.0,38.75,1.25,1.6444930515080565,0.20950530176772345,14.328940144661543,8.957525739627755,5.371414405033788
2150000.0,38.75,1.625,1.6444930515080565,0.20950530176772345,13.292335993002254,8.957525739627755,4.334810253374497
2150000.0,38.75,2.0,1.6444930515080565,0.20950530176772345,12.6444583982152,8.957525739627755,3.6869326585874425
2150000.0,42.5,0.5,1.6444930514890594,0.20950530176530327,21.066867130690287,8.95752573973123,12.109341390959056
2150000.0,42.5,0.875,1.6444930514890594,0.20950530176530327,16.254062140787987,8.95752573973123,7.296536401056759
2150000.0,42.5,1.25,1.6444930514890594,0.20950530176530327,14.328940144827069,8.95752573973123,5.371414405095838
2150000.0,42.5,1.625,1.6444930514890594,0.20950530176530327,13.292335993155804,8.95752573973123,4.334810253424573
2150000.0,42.5,2.0,1.6444930514890594,0.20950530176530327,12.644458398361266,8.95752573973123,3.686932658630033
2150000.0,46.25,0.5,1.6444930515080565,0.20950530176772345,21.066867130446926,8.957525739627755,12.109341390819173
2150000.0,46.25,0.875,1.6444930515080565,0.20950530176772345,16.254062140600222,8.957525739627755,7.296536400972468
2150000.0,46.25,1.25,1.6444930515080565,0.20950530176772345,14.328940144661543,8.957525739627755,5.371414405033788
2150000.0,46.25,1.625,1.6444930515080565,0.20950530176772345,13.292335993002254,8.957525739627755,4.334810253374497
2150000.0,46.25,2.0,1.6444930515080565,0.20950530176772345,12.6444583982152,8.957525739627755,3.6869326585874425
2150000.0,50.0,0.5,1.6444953725753686,0.2095055974673053,21.066837396330673,8.957513096831367,12.109324299499308
2150000.0,50.0,0.875,1.6444953725753686,0.2095055974673053,16.254039199354605,8.957513096831367,7.296526102523237
2150000.0,50.0,1.25,1.6444953725753686,0.2095055974673053,14.328919920564175,8.957513096831367,5.371406823732811
2150000.0,50.0,1.625,1.6444953725753686,0.2095055974673053,13.292317231984716,8.957513096831367,4.33480413515335
2150000.0,50.0,2.0,1.6444953725753686,0.2095055974673053,12.644440551622553,8.957513096831367,3.6869274547911863
2500000.0,35.0,0.5,1.5566405022240168,0.19831305329215954,22.25582371800599,9.463064089037486,12.7927596289685
2500000.0,35.0,0.875,1.5566405022240168,0.19831305329215954,17.171397126243672,9.463064089037486,7.708333037206186
2500000.0,35.0,1.25,1.5566405022240168,0.19831305329215954,15.137626489538746,9.463064089037486,5.6745624005012605
2500000.0,35.0,1.625,1.5566405022240168,0.19831305329215954,14.04251922362071,9.463064089037486,4.579455134583222
2500000.0,35.0,2.0,1.5566405022240168,0.19831305329215954,13.358077182421937,9.463064089037486,3.89501309338445
2500000.0,38.75,0.5,1.5566404628159558,0.19831304827164714,22.25582428143658,9.463064328605336,12.792759952831245
