sweep_param,param_value,param_label,daily_yield_kg_m2,thermal_efficiency,specific_energy_wh_kwh_per_l,specific_energy_parasitic_kwh_per_l,specific_energy_total_kwh_per_l,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
baseline,,baseline,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
hydrogel_thickness_mm,1.0,Hydrogel thickness (mm),33.954153007154424,0.002635063300222199,237.81844884478625,0.04839535109542558,237.86684419588167,21,5.917849915566787,-2110.8082869577074,12.956188792481932,inf
hydrogel_thickness_mm,3.25,Hydrogel thickness (mm),23.144896966054787,0.001757172663870328,356.6335167577544,0.07099721197026948,356.7045139697247,11,16.64894342748093,-9565.317612868004,inf,inf
hydrogel_thickness_mm,4.0,Hydrogel thickness (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
hydrogel_thickness_mm,5.5,Hydrogel thickness (mm),20.427145992213184,0.0015621520811168303,401.15599130312813,0.08044311019050014,401.23643441331865,9,23.159761986967702,-10767.757752272486,inf,inf
hydrogel_thickness_mm,7.75,Hydrogel thickness (mm),19.541866258808206,0.0014797320957021345,423.50008389141055,0.08408731971483943,423.5841712111254,8,27.357048243647455,-11272.893649228286,inf,inf
hydrogel_thickness_mm,10.0,Hydrogel thickness (mm),18.33319322430241,0.0014246926220787047,439.86096155416715,0.0896310389480207,439.9505925931152,7,33.475065397739385,-11785.982938305191,inf,inf
vapor_gap_mm,7.0,Vapor gap (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
vapor_gap_mm,20.25,Vapor gap (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
vapor_gap_mm,33.5,Vapor gap (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
vapor_gap_mm,40.0,Vapor gap (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
vapor_gap_mm,46.75,Vapor gap (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
vapor_gap_mm,60.0,Vapor gap (mm),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
t_wh_in_c,50.0,Waste-heat inlet T (°C),10.615879316304433,0.0012280365247659547,510.2996971414184,0.15478917072891824,510.4544863121473,2,199.9399192039616,-13349.09034386997,inf,inf
t_wh_in_c,54.0,Waste-heat inlet T (°C),10.765449170051046,0.001018913438597295,615.0342540671348,0.15263860615313712,615.186892673288,2,197.16205234515604,-13344.266325076123,inf,inf
t_wh_in_c,58.0,Waste-heat inlet T (°C),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
t_wh_in_c,62.0,Waste-heat inlet T (°C),33.871268914508704,0.002238972345259767,279.890311282054,0.04851377608782665,279.9388250581418,25,5.013188158743595,-36.01808048525709,9.858893064810612,20.19892790492595
t_wh_in_c,66.0,Waste-heat inlet T (°C),40.99024395361736,0.002506840105065134,249.98270348414755,0.04008815262940209,250.02279163677696,37,2.799002288964881,10766.30651887205,4.392167156398437,5.624898335197952
relative_humidity,0.15,Uptake RH,0.0,0.0,inf,inf,inf,119,1e+30,nan,nan,nan
relative_humidity,0.3125,Uptake RH,9.049492081162013,0.0007247340609444898,864.6849933477399,0.18158181046974717,864.8665751582097,48,9.772823131973643,-6686.605553746177,42.18368612374588,inf
relative_humidity,0.45,Uptake RH,21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
relative_humidity,0.475,Uptake RH,24.54771523449674,0.001747483253620849,358.61097115991845,0.06693996326060636,358.67791112317906,8,21.61645221102294,-10524.568245122537,inf,inf
relative_humidity,0.6375000000000001,Uptake RH,33.88388075079284,0.0025843915591998376,242.48131612869494,0.048495718894022766,242.52981184758897,3,41.76101843446478,-12052.214602325439,inf,inf
relative_humidity,0.8,Uptake RH,60.51380386770124,0.00432918730576674,144.7538815961852,0.02715451766214445,144.78103611384736,3,23.383513814062304,-10763.887646290485,inf,inf
m_dot_wh_kg_s_m2,0.05,WH mass flow (kg/s/m²),19.137456863010648,0.004161522626984649,150.58590877366828,0.08586423826799584,150.67177301193627,7,31.688611922605205,-11531.164656564513,inf,inf
m_dot_wh_kg_s_m2,0.1125,WH mass flow (kg/s/m²),22.63652761634872,0.002167304656710015,289.145628292956,0.07259166175037632,289.2182199547064,10,18.75321240962913,-10041.044240230787,inf,inf
m_dot_wh_kg_s_m2,0.15,WH mass flow (kg/s/m²),21.497021836022054,0.0016638301493752347,376.64100924122505,0.07643957234929762,376.7174488135743,10,19.7472754060385,-10224.804441979219,inf,inf
