variable,avg_sensitivity,abs_avg_sensitivity,avg_increase_sensitivity,avg_decrease_sensitivity,num_increase_points,num_decrease_points,num_point_sensitivities,x_min,x_median,x_max,y_min,y_median,y_max,x_mean,y_mean,valid_points,max_abs_effect
hydrogel_lifetime_years,-0.3868602742129634,0.3868602742129634,-0.2125062089946059,-0.5612143394313208,250,250,500,0.5,1.25,2.0,11.943106975914477,15.352496823638724,24.679448289895717,1.25,16.405247501584515,125,0.5612143394313208
h_des_j_per_kg,0.38019461315625563,0.38019461315625563,0.3468038789206282,0.4135853473918829,250,250,500,1800000.0,2500000.0,3200000.0,11.943106975914477,15.352496823638724,24.679448289895717,2500000.0,16.405247501584515,125,0.4135853473918829
salt_formula_weight_g_mol,-1.3103530565105443e-07,1.25670515519452e-06,-1.3103447676752608e-07,-1.310361345345828e-07,250,250,500,35.0,42.5,50.0,11.943106975914477,15.352496823638724,24.679448289895717,42.5,16.405247501584515,125,1.310361345345828e-07
