lat,lon,sawh_lcow,coast_km,elev_m,desal_lcow,sawh_cheaper
-54.0,-72.0,17.724481909097292,9.846117356389328,0.0,1.133710273699767,False
-54.0,-69.0,14.697908404601687,41.04308856564036,0.0,1.5573651427213961,False
-51.0,-75.0,21.473813712675696,7.731015725647026,300.0,2.6049871935542868,False
-51.0,-72.0,12.26049007269353,82.85759897471715,173.0,2.990206194076659,False
-48.0,-75.0,16.46393649207582,8.611003361062542,427.0,3.2519374256432294,False
-48.0,-72.0,13.527377331541032,104.6182049250791,1115.0,7.995715222882574,False
-48.0,-69.0,11.654346499571773,154.85465972610825,248.0,4.342926279080551,False
-48.0,-66.0,11.197988413636288,4.727123213724185,0.0,1.0641943332423744,False
-45.0,-72.0,12.297099262755925,65.30823986084731,860.0,6.186885897310306,False
-45.0,-69.0,11.341741793989724,150.6582125203582,383.0,4.960938526026465,False
-45.0,-66.0,10.538913486734264,4.31306032392608,0.0,1.058571359198916,False
-45.0,168.0,9.89678949872637,37.96314188450404,163.0,2.330539466791565,False
-45.0,171.0,9.137254908745035,7.231011688131422,0.0,1.0981971387248246,False
-42.0,-72.0,9.730624728798173,40.96385521599831,797.0,5.541289153833256,False
-42.0,-69.0,9.35110990773507,280.83800597940944,881.0,9.21878012120038,False
-42.0,-66.0,9.691969216621642,77.84161631214836,163.0,2.872089149518975,False
-42.0,147.0,7.683926680119418,89.13937435455965,141.0,2.91551270373492,False
-42.0,174.0,7.989481024995695,3.920131495285741,0.0,1.0532353857059804,False
-39.0,-72.0,9.072832224680266,108.71781434234467,1279.0,8.871387918769042,False
-39.0,-69.0,10.57684945548172,365.4680303841729,840.0,10.163055852617068,False
-39.0,-66.0,9.027000048960664,213.55548256438027,197.0,4.885083453224285,False
-39.0,-63.0,7.627008170232284,56.52874604930889,33.0,1.9326603713496149,False
-39.0,177.0,7.264724133268014,23.489386384866812,0.0,1.3189858671064913,False
-36.0,-72.0,7.129379525962557,59.28271343736568,300.0,3.305059248479426,False
-36.0,-69.0,8.358336898212794,308.4691422141323,1349.0,11.934010951267917,True
-36.0,-66.0,7.386807767287414,449.10790519695803,275.0,8.47388535257469,True
-36.0,-63.0,6.867747769751273,316.85042327998514,133.0,5.967828748142198,False
-36.0,-60.0,6.7575828006264,213.70717231589967,171.0,4.757143400049918,False
-36.0,141.0,7.060383645293159,121.31118340018567,99.0,3.1424058705745215,False
-36.0,144.0,7.1801226227438235,225.60514135942188,218.0,5.153717819660949,False
-36.0,147.0,7.264079118079185,228.73853444222283,794.0,8.076269297725386,True
-36.0,150.0,6.551899898696187,14.630513444527956,0.0,1.1986823725766897,False
-36.0,174.0,6.595042176921575,3.5856680467020787,0.0,1.0486933720742142,False
-33.0,-69.0,8.069620445136767,232.2267009846029,1169.0,9.998638599370906,True
-33.0,-66.0,6.335476986684325,510.7792873858179,594.0,10.906382722699407,True
-33.0,-63.0,6.201113012007035,420.1708832814803,129.0,7.350920594962503,True
3.0,-57.0,4.019394334109566,281.9257164130121,219.0,5.923551228888703,True
3.0,-54.0,3.9109292931273583,262.8765939943488,191.0,5.524864146443257,True
3.0,-51.0,4.120462578696033,8.646463443804572,15.0,1.192418973566866,False
3.0,12.0,4.324937334614633,227.97189647502813,683.0,7.510858354130882,True
3.0,15.0,4.152391810834186,560.9862231573762,541.0,11.323192910477168,True
3.0,18.0,3.981726660381777,894.0744653580525,355.0,14.916531239562353,True
3.0,21.0,4.355953058427461,1227.174902937904,455.0,19.940035181896736,True
3.0,24.0,4.600260935263272,1560.2779536106123,442.0,24.398574610032114,True
3.0,27.0,4.451363791711912,1599.9944174104737,707.0,26.262924188434233,True
3.0,30.0,4.721060229409619,1300.4088221702084,1473.0,26.024551805071432,True
3.0,33.0,4.556541785562741,1022.0159396692579,1050.0,20.12897646070852,True
3.0,36.0,4.826222782637727,779.3841309892383,410.0,13.634036498833858,True
3.0,39.0,5.4038811411801175,541.3338606975533,555.0,11.126313828272774,True
3.0,42.0,4.550044502456693,305.23251701021724,414.0,7.215057580998749,True
3.0,45.0,3.988554970127442,111.65131718533327,111.0,3.071224887376826,False
3.0,99.0,4.441213064238546,62.5536740518238,445.0,4.074478893623767,False
3.0,102.0,4.419973458684,53.277206694461995,567.0,4.558504466910794,True
3.0,114.0,4.085395322971582,97.95110254906204,266.0,3.660175972616263,False
3.0,117.0,4.174541153197317,44.67094082451501,359.0,3.4016313763969137,False
6.0,-75.0,4.123688087272548,249.98429697855053,1156.0,10.174786752968716,True
6.0,-72.0,4.397386961911792,341.5012110094726,833.0,9.802586445508638,True
6.0,-69.0,4.273828064029708,429.55780609202236,83.0,7.248395006729663,True
6.0,-66.0,4.361922569854871,462.61325798545033,360.0,9.082288043442414,True
6.0,-63.0,3.9905651895851424,326.4229943220209,424.0,7.5528242628930435,True
6.0,-60.0,3.6926896883889544,152.9990421974582,119.0,3.6727269930414828,False
6.0,-9.0,4.299753843940884,89.42225971894088,162.0,3.0243542869832174,False
6.0,-6.0,4.207743014234887,109.48514701795277,200.0,3.4868082965037983,False
6.0,-3.0,4.17115377538287,74.37827219896147,146.0,2.7400569364618965,False
6.0,0.0,4.118977664655838,36.95250498258326,78.0,1.8918150176634807,False
6.0,6.0,4.323988661336677,74.00767063588597,79.0,2.4000241672353315,False
6.0,9.0,4.5577041564929495,145.45556551935638,102.0,3.4852865797528594,False
6.0,12.0,4.884300891759843,335.0156198509414,917.0,10.134512117575785,True
6.0,15.0,5.144909244447691,626.7107784611678,891.0,13.965732371502659,True
6.0,18.0,4.95710087488991,945.2887406032153,640.0,17.037021097391662,True
