lat,lon,elev_m
21.0,6.0,559.0
21.0,9.0,657.0
21.0,12.0,477.0
21.0,15.0,512.0
21.0,18.0,1493.0
21.0,21.0,564.0
21.0,24.0,745.0
21.0,27.0,465.0
21.0,30.0,290.0
21.0,33.0,351.0
21.0,36.0,430.0
21.0,42.0,1427.0
21.0,45.0,707.0
21.0,48.0,348.0
21.0,51.0,179.0
21.0,54.0,153.0
21.0,57.0,130.0
21.0,75.0,224.0
21.0,78.0,338.0
21.0,81.0,307.0
21.0,84.0,128.0
21.0,87.0,0.0
21.0,93.0,1.0
21.0,96.0,165.0
21.0,99.0,767.0
21.0,102.0,1019.0
21.0,105.0,357.0
24.0,-105.0,2466.0
24.0,-102.0,1857.0
24.0,-99.0,178.0
24.0,-15.0,202.0
24.0,-12.0,244.0
24.0,-9.0,248.0
24.0,-6.0,317.0
24.0,-3.0,249.0
24.0,0.0,318.0
24.0,3.0,529.0
24.0,6.0,1155.0
24.0,9.0,871.0
24.0,12.0,916.0
24.0,15.0,576.0
24.0,18.0,468.0
24.0,21.0,441.0
24.0,24.0,427.0
24.0,27.0,688.0
24.0,30.0,258.0
24.0,33.0,224.0
24.0,39.0,558.0
24.0,42.0,957.0
24.0,45.0,931.0
24.0,48.0,479.0
24.0,51.0,23.0
24.0,54.0,4.0
24.0,57.0,26.0
24.0,69.0,0.0
24.0,72.0,79.0
24.0,75.0,465.0
24.0,78.0,395.0
24.0,81.0,349.0
24.0,84.0,244.0
24.0,87.0,189.0
24.0,90.0,11.0
24.0,93.0,310.0
24.0,96.0,175.0
24.0,99.0,1926.0
24.0,102.0,1899.0
24.0,105.0,1183.0
24.0,108.0,226.0
24.0,111.0,428.0
24.0,114.0,865.0
24.0,117.0,103.0
27.0,-114.0,70.0
27.0,-108.0,636.0
27.0,-105.0,1439.0
27.0,-102.0,767.0
27.0,-99.0,139.0
27.0,-81.0,4.0
27.0,-12.0,224.0
27.0,-9.0,454.0
27.0,-6.0,379.0
27.0,-3.0,418.0
27.0,0.0,274.0
27.0,3.0,357.0
27.0,6.0,443.0
27.0,9.0,535.0
27.0,12.0,493.0
27.0,15.0,471.0
27.0,18.0,503.0
27.0,21.0,191.0
27.0,24.0,231.0
27.0,27.0,177.0
27.0,30.0,198.0
27.0,33.0,430.0
27.0,36.0,136.0
27.0,39.0,1036.0
27.0,42.0,1056.0
27.0,45.0,588.0
27.0,48.0,206.0
27.0,54.0,357.0
27.0,57.0,3.0
27.0,60.0,580.0
27.0,63.0,1005.0
27.0,66.0,1379.0
27.0,69.0,47.0
27.0,72.0,238.0
27.0,75.0,362.0
27.0,78.0,157.0
27.0,81.0,123.0
27.0,84.0,90.0
27.0,87.0,1892.0
27.0,90.0,2088.0
27.0,93.0,389.0
27.0,96.0,1279.0
27.0,99.0,3531.0
27.0,102.0,1881.0
27.0,105.0,1748.0
27.0,108.0,829.0
27.0,111.0,369.0
27.0,114.0,141.0
27.0,117.0,467.0
27.0,120.0,649.0
30.0,-111.0,640.0
30.0,-108.0,1648.0
30.0,-105.0,1222.0
30.0,-102.0,573.0
30.0,-99.0,520.0
30.0,-96.0,61.0
30.0,-93.0,0.0
30.0,-90.0,0.0
30.0,-9.0,1164.0
30.0,-6.0,889.0
30.0,-3.0,625.0
30.0,0.0,462.0
30.0,3.0,356.0
30.0,6.0,300.0
30.0,9.0,335.0
30.0,12.0,629.0
30.0,15.0,359.0
30.0,18.0,234.0
30.0,21.0,-19.0
30.0,24.0,79.0
30.0,27.0,-78.0
30.0,30.0,137.0
30.0,33.0,476.0
30.0,36.0,936.0
30.0,39.0,584.0
30.0,42.0,494.0
30.0,45.0,291.0
30.0,48.0,0.0
30.0,51.0,843.0
30.0,54.0,2420.0
30.0,57.0,2012.0
30.0,60.0,1497.0
30.0,63.0,583.0
30.0,66.0,970.0
30.0,69.0,1061.0
30.0,72.0,130.0
30.0,75.0,206.0
30.0,78.0,317.0
30.0,81.0,5972.0
30.0,84.0,4667.0
30.0,87.0,5203.0
30.0,90.0,5599.0
30.0,93.0,3904.0
30.0,96.0,4416.0
30.0,99.0,3726.0
30.0,102.0,4312.0
30.0,105.0,383.0
30.0,108.0,1175.0
30.0,111.0,837.0
30.0,114.0,27.0
30.0,117.0,173.0
30.0,120.0,24.0
33.0,-117.0,400.0
33.0,-114.0,468.0
33.0,-111.0,1018.0
-33.0,-60.0,56.0
-33.0,-57.0,133.0
