lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-27.0,114.0,3.25,6.711943385666795,3.25,6.658721153291079,0.0079294817190161,False
-27.0,117.0,3.25,9.383735872680493,3.25,9.309327710621996,0.007929481719016192,False
-27.0,120.0,3.25,9.482449313102753,3.25,9.407258404623008,0.007929481719016172,False
-27.0,123.0,3.25,9.217438190281815,3.25,9.144348682655814,0.007929481719016175,False
-27.0,126.0,3.25,9.708129915621836,3.25,9.631149476930078,0.007929481719016177,False
-27.0,129.0,3.25,9.788215354575375,3.25,9.710599879859476,0.007929481719016123,False
-27.0,132.0,3.25,9.992719851229834,3.25,9.913482761846257,0.007929481719016173,False
-27.0,135.0,3.25,10.91545172444109,3.25,10.82889784953733,0.007929481719016125,False
-27.0,138.0,3.25,10.347276209901628,3.25,10.265227672353602,0.00792948171901618,False
-27.0,141.0,3.25,10.160184864437188,3.25,10.079619864292809,0.007929481719016097,False
-27.0,144.0,3.25,8.58273554200163,3.25,8.51467889742218,0.007929481719016078,False
-27.0,147.0,3.25,7.266420845627567,3.25,7.208801894369485,0.00792948171901617,False
-27.0,150.0,3.25,6.611831351157506,3.25,6.559402955329285,0.007929481719016073,False
-27.0,153.0,3.25,6.131642772551112,3.25,6.08302202327863,0.007929481719016215,False
-24.0,-69.0,3.25,22.191560136184133,3.25,22.015592565767815,0.007929481719016104,False
-24.0,-66.0,3.25,9.062832764219225,3.25,8.990969197492849,0.0079294817190161,False
-24.0,-63.0,3.25,7.508650190103396,3.25,7.449110485686485,0.007929481719016078,False
-24.0,-60.0,3.25,7.136002986634343,3.25,7.079418181404981,0.00792948171901611,False
-24.0,-57.0,3.25,6.479903529612604,3.25,6.428521253033553,0.00792948171901603,False
-24.0,-54.0,3.25,6.3762461627205465,3.25,6.325685835337308,0.00792948171901603,False
-24.0,-51.0,3.25,5.99812107877031,3.25,5.950559087327755,0.007929481719016165,False
-24.0,-48.0,3.25,5.608565791040239,3.25,5.564092771130286,0.007929481719016125,False
-24.0,15.0,3.25,6.854734730997035,3.25,6.800380237258889,0.007929481719016194,False
-24.0,18.0,3.25,13.180560159323125,3.25,13.07604514849338,0.007929481719016144,False
-24.0,21.0,3.25,10.814021536899693,3.25,10.7282719508138,0.007929481719016106,False
-24.0,24.0,3.25,9.659984068395884,3.25,9.583385401319552,0.007929481719016165,False
-24.0,27.0,3.25,8.455821068280564,3.25,8.388770789700361,0.00792948171901617,False
-24.0,30.0,3.25,6.406672397464899,3.25,6.355870805809476,0.007929481719015998,False
-24.0,33.0,3.25,6.05013027610541,3.25,6.002155878683366,0.0079294817190161,False
-24.0,45.0,3.25,5.286829727678382,3.25,5.244907908001206,0.00792948171901603,False
-24.0,114.0,3.25,6.327769578208321,3.25,6.277593645015772,0.007929481719016133,False
-24.0,117.0,3.25,9.62766412798364,3.25,9.551321741283967,0.007929481719016118,False
-24.0,120.0,3.25,9.613072931755992,3.25,9.536846245680065,0.007929481719016019,False
-24.0,123.0,3.25,9.623974736349926,3.25,9.547661604613765,0.007929481719016201,False
-24.0,126.0,3.25,10.10281226745881,3.25,10.022702202273344,0.00792948171901619,False
-24.0,129.0,3.25,9.954432412860863,3.25,9.8754989230199,0.007929481719016118,False
-24.0,132.0,3.25,9.238338617058668,3.25,9.16508337988062,0.007929481719016133,False
-24.0,135.0,3.25,9.665211407378782,3.25,9.588571290213547,0.007929481719016016,False
-24.0,138.0,3.25,9.77908998902462,3.25,9.701546873728034,0.007929481719016203,False
-24.0,141.0,3.25,8.951446426594565,3.25,8.880466095796132,0.007929481719015998,False
-24.0,144.0,3.25,8.11996263779137,3.25,8.055575542495909,0.007929481719016097,False
-24.0,147.0,3.25,6.76564975105741,3.25,6.712001655039134,0.007929481719016153,False
-24.0,150.0,3.25,6.013879213453958,3.25,5.966192268170504,0.007929481719016062,False
-21.0,-69.0,3.25,13.439810109811269,3.25,13.333239381238473,0.007929481719016111,False
-21.0,-66.0,3.25,9.443433094932505,3.25,9.368551564841486,0.00792948171901616,False
-21.0,-63.0,3.25,6.809162056028608,3.25,6.755168929983511,0.00792948171901614,False
-21.0,-60.0,3.25,7.256608568826096,3.25,7.199067423837534,0.007929481719016099,False
-21.0,-57.0,3.25,6.537997842341127,3.25,6.486154907971316,0.00792948171901622,False
-21.0,-54.0,3.25,6.016270562328226,3.25,5.96856465488759,0.007929481719016048,False
-21.0,-51.0,3.25,5.881192692040598,3.25,5.83455788210305,0.007929481719016153,False
-21.0,-48.0,3.25,6.439619168546443,3.25,6.388556326072028,0.00792948171901609,False
-21.0,-45.0,3.25,6.1662537356624565,3.25,6.117358539390706,0.007929481719016194,False
-21.0,-42.0,3.25,5.825848117223411,3.25,5.779652161080123,0.007929481719016217,False
-21.0,15.0,3.25,8.713057457450322,3.25,8.643967427624732,0.0079294817190162,False
-21.0,18.0,3.25,11.37796802787836,3.25,11.28774663840175,0.007929481719016055,False
-21.0,21.0,3.25,10.855139760074882,3.25,10.769064127790005,0.007929481719016036,False
-21.0,24.0,3.25,9.323412176443805,3.25,9.24948235003184,0.007929481719016215,False
-21.0,27.0,3.25,7.840764875426167,3.25,7.778591673683372,0.007929481719016106,False
-21.0,30.0,3.25,6.546651942011052,3.25,6.494740385116114,0.007929481719016081,False
-21.0,33.0,3.25,5.459964425304514,3.25,5.416669737207584,0.007929481719016038,False
-21.0,45.0,3.25,5.83178816766837,3.25,5.785545110003669,0.007929481719016153,False
-21.0,48.0,1.0,5.674227113635342,1.0,5.6579073144544445,0.002876127242365868,False
-21.0,117.0,3.25,7.466774530952321,3.25,7.40756687880912,0.0079294817190161,False
-21.0,120.0,3.25,8.171106172764691,3.25,8.106313535743615,0.007929481719016012,False
-21.0,123.0,3.25,8.69669004749388,3.25,8.627729802746327,0.00792948171901617,False
-21.0,126.0,3.25,9.00597820909343,3.25,8.934565469522566,0.007929481719016099,False
-21.0,129.0,3.25,8.066679245874434,3.25,8.002714660261107,0.007929481719015996,False
-21.0,132.0,3.25,8.512590943716162,3.25,8.445090509446503,0.00792948171901609,False
-21.0,135.0,3.25,8.15893827985242,3.25,8.09424212791575,0.00792948171901594,False
-21.0,138.0,3.25,8.217098356967025,3.25,8.151941025762097,0.007929481719016144,False
-21.0,141.0,3.25,7.59534989532316,3.25,7.535122707178664,0.007929481719016092,False
-21.0,144.0,3.25,6.859274219087359,3.25,6.8048837295613875,0.007929481719016074,False
-21.0,147.0,3.25,5.826342087437193,3.25,5.780142214366125,0.007929481719016137,False
-21.0,165.0,3.25,5.701738099841186,3.25,5.656526271811877,0.007929481719016111,False
-18.0,-69.0,3.25,12.743503154156361,3.25,12.642453778859254,0.0079294817190161,False
-18.0,-66.0,3.25,8.489667452004637,3.25,8.42234878914344,0.007929481719016158,False
-18.0,-63.0,3.25,6.195314634234332,3.25,6.146189000098618,0.007929481719016203,False
-18.0,-60.0,3.25,5.989750782264774,3.25,5.942255162935342,0.00792948171901625,False
-18.0,-57.0,3.25,6.1090025921232805,3.25,6.060561367747616,0.007929481719016215,False
-18.0,-54.0,3.25,6.1168222813930635,3.25,6.068319050934287,0.007929481719016106,False
-18.0,-51.0,3.25,5.680464398890609,3.25,5.635421260284084,0.00792948171901614,False
-18.0,-48.0,3.25,6.15980490813026,3.25,6.110960847718536,0.007929481719016076,False
-18.0,-45.0,3.25,6.247834384277353,3.25,6.198292295743785,0.007929481719016149,False
