lat,lon,mean_rh_frac,mean_t_amb_c,mean_solar_w_m2,salt,hydrogel_thickness_mm,eps_abs,tau_glass,eps_abs_ir,eps_glass_ir,fin_area_ratio,vapor_gap_mm,warmup_method,resolution,mean_yield_kg_m2,mean_eta_thermal,n_periods
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.567509,0.152078,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.560936,0.150240,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.554876,0.147960,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.572236,0.148694,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.565886,0.145356,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.570651,0.152154,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.566524,0.152909,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,7.55,60.0,aitken-gpu-fixed-round,monthly,0.559476,0.149467,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,9.825,20.0,aitken-gpu-fixed-round,monthly,0.583050,0.159559,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,9.825,30.0,aitken-gpu-fixed-round,monthly,0.568402,0.146028,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,9.825,40.0,aitken-gpu-fixed-round,monthly,0.573551,0.153331,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,9.825,50.0,aitken-gpu-fixed-round,monthly,0.569199,0.153942,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,9.825,60.0,aitken-gpu-fixed-round,monthly,0.562236,0.150706,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,12.0,20.0,aitken-gpu-fixed-round,monthly,0.584126,0.159384,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,12.0,30.0,aitken-gpu-fixed-round,monthly,0.569960,0.146496,12
