discount_rate,device_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
0.04,10.0,21.497021836022054,0.0016638301493752347,10.0,22.393050270890537,-9962.268549544231,inf,inf
0.045714285714285714,10.0,21.497021836022054,0.0016638301493752347,10.0,22.82895069266487,-9927.531306224888,inf,inf
0.05142857142857143,10.0,21.497021836022054,0.0016638301493752347,10.0,23.27094634228587,-9894.229751285104,inf,inf
0.05714285714285714,10.0,21.497021836022054,0.0016638301493752347,10.0,23.71895665202577,-9862.291198931696,inf,inf
0.06285714285714286,10.0,21.497021836022054,0.0016638301493752347,10.0,24.172899110030745,-9831.647190438538,inf,inf
0.06857142857142856,10.0,21.497021836022054,0.0016638301493752347,10.0,24.632689431164756,-9802.233220400223,inf,inf
0.07428571428571429,10.0,21.497021836022054,0.0016638301493752347,10.0,25.098241725191006,-9773.98848237094,inf,inf
0.07999999999999999,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-9746.855632405492,inf,inf
0.08571428571428572,10.0,21.497021836022054,0.0016638301493752347,10.0,26.04628163265956,-9720.78056914092,inf,inf
0.09142857142857141,10.0,21.497021836022054,0.0016638301493752347,10.0,26.5285909084879,-9695.712229168075,inf,inf
0.09714285714285714,10.0,21.497021836022054,0.0016638301493752347,10.0,27.016305793606385,-9671.602396543809,inf,inf
0.10285714285714284,10.0,21.497021836022054,0.0016638301493752347,10.0,27.509334774936605,-9648.405525387054,inf,inf
0.10857142857142857,10.0,21.497021836022054,0.0016638301493752347,10.0,28.00758566686141,-9626.078574586709,inf,inf
0.11428571428571427,10.0,21.497021836022054,0.0016638301493752347,10.0,28.51096575119182,-9604.580853726593,inf,inf
0.12,10.0,21.497021836022054,0.0016638301493752347,10.0,29.0193819121445,-9583.873879403714,inf,inf
0.04,11.0,21.497021836022054,0.0016638301493752347,10.0,21.264839017626578,-10062.15910274117,inf,inf
0.045714285714285714,11.0,21.497021836022054,0.0016638301493752347,10.0,21.702365683768555,-10021.578902284198,inf,inf
0.05142857142857143,11.0,21.497021836022054,0.0016638301493752347,10.0,22.146580798622793,-9982.805255454055,inf,inf
0.05714285714285714,11.0,21.497021836022054,0.0016638301493752347,10.0,22.59738886415033,-9945.740109955133,inf,inf
0.06285714285714286,11.0,21.497021836022054,0.0016638301493752347,10.0,23.054691710482654,-9910.291499222563,inf,inf
0.06857142857142856,11.0,21.497021836022054,0.0016638301493752347,10.0,23.51838874091799,-9876.373123522415,inf,inf
0.07428571428571429,11.0,21.497021836022054,0.0016638301493752347,10.0,23.988377173446814,-9843.903962465783,inf,inf
0.07999999999999999,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-9812.807916400074,inf,inf
0.08571428571428572,11.0,21.497021836022054,0.0016638301493752347,10.0,24.946807609106585,-9783.013474359546,inf,inf
0.09142857142857141,11.0,21.497021836022054,0.0016638301493752347,10.0,25.435035232208858,-9754.453406455843,inf,inf
0.09714285714285714,11.0,21.497021836022054,0.0016638301493752347,10.0,25.929125944956304,-9727.064478769891,inf,inf
0.10285714285714284,11.0,21.497021836022054,0.0016638301493752347,10.0,26.428969491101295,-9700.787188970919,inf,inf
0.10857142857142857,11.0,21.497021836022054,0.0016638301493752347,10.0,26.934454767692323,-9675.565521037768,inf,inf
