hydrogel_thickness_mm,ua_wh_desorber_w_k,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
1.0,160.0,20.820575854039774,0.001625658062133874,12.0,16.88893093538987,-9580.357365045307,inf,inf
1.6428571428571428,160.0,19.16628574134077,0.001519119455067417,9.0,24.493798453169443,-10845.307287439427,inf,inf
2.2857142857142856,160.0,19.70269666401347,0.0014308434952869022,8.0,26.83988758840133,-11102.76068628052,inf,inf
2.928571428571429,160.0,19.315445235052735,0.0013500123443451497,7.0,31.329438373245534,-11481.781578963444,inf,inf
3.5714285714285716,160.0,18.308506610311323,0.0012819653369973746,6.0,38.61086267231847,-11908.272196909546,inf,inf
4.214285714285714,160.0,16.6394682426803,0.0012269296306605,5.0,51.046011731077826,-12355.672530813827,inf,inf
4.857142857142858,160.0,18.736078800840907,0.001201059441124815,5.0,45.39201131253216,-12204.19420891584,inf,inf
5.5,160.0,15.940445701721654,0.0011627478651970273,4.0,66.77652922676631,-12704.245528517446,inf,inf
6.142857142857143,160.0,17.588531609675435,0.0011466178837344298,4.0,60.59686642116518,-12615.509977419195,inf,inf
6.7857142857142865,160.0,19.254391149829722,0.0011334759628474978,4.0,55.42487188497454,-12525.627934115164,inf,inf
7.428571428571429,160.0,14.816855142105437,0.0011074065027768649,3.0,96.15485559110627,-13068.387971576929,inf,inf
8.071428571428573,160.0,15.994999768143217,0.0010986275928431136,3.0,89.18592915237473,-13028.965212302133,inf,inf
8.714285714285715,160.0,17.156391806815,0.0010913024047283814,3.0,83.25440930743535,-12990.352925133931,inf,inf
9.357142857142858,160.0,17.76591229963474,0.0010909601480819928,3.0,80.50031944372725,-12978.439588077923,inf,inf
10.0,160.0,17.897841103083863,0.0010949801695190828,3.0,80.00841870741449,-12989.631621799486,inf,inf
1.0,205.71428571428572,23.653108997527333,0.0018708874837978166,14.0,12.742653504449187,-8269.343172443267,191.99785432441962,inf
1.6428571428571428,205.71428571428572,22.657911200403532,0.001719068739416807,11.0,16.95212134255549,-9607.767197751444,inf,inf
2.2857142857142856,205.71428571428572,20.475649557086378,0.0015658613582149197,9.0,22.957053870364152,-10672.845067184593,inf,inf
2.928571428571429,205.71428571428572,19.961846595277226,0.0014662837508555156,8.0,26.525566771832633,-11086.902242161254,inf,inf
3.5714285714285716,205.71428571428572,18.85327310663663,0.0013883915488699984,7.0,32.13874234253538,-11551.528093676334,inf,inf
4.214285714285714,205.71428571428572,17.31371241732964,0.0013266936794164514,6.0,40.88178157322695,-12022.100943880807,inf,inf
4.857142857142858,205.71428571428572,19.105474152944968,0.0012937791049322971,6.0,37.095315112157586,-11866.308550636975,inf,inf
5.5,205.71428571428572,16.862500736340152,0.0012505715624153385,5.0,50.50010813667126,-12372.838292219885,inf,inf
6.142857142857143,205.71428571428572,18.452262542725514,0.001227914203522901,5.0,46.20831285217004,-12262.22796348621,inf,inf
6.7857142857142865,205.71428571428572,15.400291239311368,0.0011967735810161939,4.0,69.29558318799161,-12774.237529377571,inf,inf
7.428571428571429,205.71428571428572,16.675241715189898,0.0011812306242611815,4.0,64.07909661220869,-12709.571164574445,inf,inf
8.071428571428573,205.71428571428572,17.965010609005937,0.0011678601053138902,4.0,59.554470096964764,-12643.948934336742,inf,inf
8.714285714285715,205.71428571428572,19.255136451562805,0.0011565444592987718,4.0,55.63497054441545,-12578.303679038961,inf,inf
9.357142857142858,205.71428571428572,14.604367391266731,0.001137220425954929,3.0,97.92698149795571,-13131.391720545005,inf,inf
10.0,205.71428571428572,15.526669791896673,0.0011289951970849454,3.0,92.22698647655237,-13104.346332171277,inf,inf
1.0,251.42857142857144,26.720569406695056,0.0020806911048137037,16.0,9.86984770843115,-6714.999634497128,42.78256950938427,inf
1.6428571428571428,251.42857142857144,23.955203917211755,0.001854088943850843,12.0,14.697906820256778,-8991.332273851374,inf,inf
2.2857142857142856,251.42857142857144,21.74546260462131,0.00167743005030419,10.0,19.45484161981036,-10137.87450215851,inf,inf
2.928571428571429,251.42857142857144,21.144909875413756,0.0015641438221504424,9.0,22.25907050699778,-10593.285397202526,inf,inf
3.5714285714285716,251.42857142857144,19.952104528479936,0.001477804753893505,8.0,26.57265678900234,-11105.73367757771,inf,inf
4.214285714285714,251.42857142857144,18.327033298125595,0.0014127897515476646,7.0,33.10404430235297,-11628.506833987496,inf,inf
4.857142857142858,251.42857142857144,19.868484593093406,0.0013753293380294924,7.0,30.574921551318788,-11472.07602199797,inf,inf
5.5,251.42857142857144,17.78072520329247,0.0013306498576467587,6.0,39.91016962232768,-12012.063008052444,inf,inf
6.142857142857143,251.42857142857144,19.184255656126872,0.0013037072224606212,6.0,37.03765975657206,-11893.83503619931,inf,inf
6.7857142857142865,251.42857142857144,16.58860330702277,0.001271130917927556,5.0,51.46531714353194,-12430.07227639308,inf,inf
7.428571428571429,251.42857142857144,17.814964225108692,0.0012512058384295279,5.0,47.98367985065504,-12348.763519315458,inf,inf
8.071428571428573,251.42857142857144,19.09471319807571,0.0012336497631155337,5.0,44.82483401630176,-12263.15000139095,inf,inf
8.714285714285715,251.42857142857144,15.680618429988078,0.0012112124872263087,4.0,68.31739156754196,-12808.87878067984,inf,inf
9.357142857142858,251.42857142857144,16.703619375148484,0.001197957749334512,4.0,64.21489782653762,-12760.464477917827,inf,inf
10.0,251.42857142857144,17.726105702417037,0.001186437917011704,4.0,60.58767175057462,-12712.0833707005,inf,inf
1.0,297.1428571428571,27.884807434571442,0.002231621975300958,17.0,8.901425711579146,-5964.922906003926,31.11372944515815,inf
1.6428571428571428,297.1428571428571,25.503251217892522,0.001969938652477272,13.0,12.74376360377463,-8280.487577812246,196.92222888612264,inf
2.2857142857142856,297.1428571428571,23.40577222160141,0.0017711484677101375,11.0,16.43163167063098,-9492.679203085703,inf,inf
2.928571428571429,297.1428571428571,22.792116681535937,0.001644844492666792,10.0,18.585348685364583,-9986.662458192879,inf,inf
3.5714285714285716,297.1428571428571,21.4211564669447,0.0015536842011844069,9.0,22.000282308579337,-10570.766467755167,inf,inf
4.214285714285714,297.1428571428571,19.775779538426317,0.0014838045717690768,8.0,26.84402685231667,-11146.056052040843,inf,inf
4.857142857142858,297.1428571428571,21.11860798327952,0.001443667456099462,8.0,25.16939982398155,-10990.391747713971,inf,inf
5.5,297.1428571428571,18.972025402575117,0.0013998183422905934,7.0,32.060667241087216,-11590.846662492851,inf,inf
6.142857142857143,297.1428571428571,20.23577885280757,0.0013703207594959234,7.0,30.09690080608206,-11465.763535612328,inf,inf
6.7857142857142865,297.1428571428571,17.76431488465413,0.0013389796986756413,6.0,40.04928493414319,-12048.800048936828,inf,inf
7.428571428571429,297.1428571428571,18.871726081068314,0.0013166057005096717,6.0,37.74727760557282,-11959.223937516963,inf,inf
8.071428571428573,297.1428571428571,19.98676716660115,0.0012970958979733806,6.0,35.686834801040945,-11868.909574485937,inf,inf
8.714285714285715,297.1428571428571,17.077474310323197,0.0012738876039863842,5.0,50.18348403745224,-12443.377677477,inf,inf
9.357142857142858,297.1428571428571,18.055120994282788,0.001258112176077283,5.0,47.52651447130655,-12382.123131018505,inf,inf
10.0,297.1428571428571,19.086043691076206,0.0012435395656705415,5.0,45.01649440221475,-12316.572857835441,inf,inf
1.0,342.8571428571429,31.364084935768638,0.0023827463348356525,19.0,7.080923795608032,-3999.5149157976457,18.145567874358854,inf
1.6428571428571428,342.8571428571429,27.246033655617204,0.0020698957729735445,14.0,11.076569670494283,-7475.749288599636,69.04587898862795,inf
2.2857142857142856,342.8571428571429,25.290607691542235,0.0018541612591616223,12.0,13.939777435814857,-8750.485304102418,inf,inf
2.928571428571429,342.8571428571429,21.68970202139852,0.0016878052849061854,10.0,19.52997949836695,-10164.441231986555,inf,inf
3.5714285714285716,342.8571428571429,20.179535298390533,0.0015972340855379338,9.0,23.353931727367808,-10750.971346335868,inf,inf
4.214285714285714,342.8571428571429,21.465022555863705,0.0015442399630945843,9.0,21.983528705314107,-10581.974492485362,inf,inf
4.857142857142858,342.8571428571429,19.48806489321591,0.0014903364934818625,8.0,27.27529341517165,-11200.748856813465,inf,inf
5.5,342.8571428571429,20.507244087639016,0.0014571549678787528,8.0,25.952966516799474,-11086.838690170887,inf,inf
6.142857142857143,342.8571428571429,18.3012493048872,0.0014202960792856147,7.0,33.27828711140936,-11684.14125892547,inf,inf
6.7857142857142865,342.8571428571429,19.153103601188754,0.0013970895632971175,7.0,31.838843307505076,-11605.55501784684,inf,inf
7.428571428571429,342.8571428571429,20.13616757905396,0.0013740643522383881,7.0,30.323103815990358,-11512.157283417118,inf,inf
8.071428571428573,342.8571428571429,17.547750962088333,0.0013500093919696543,6.0,40.64705839626384,-12104.903520745944,inf,inf
8.714285714285715,342.8571428571429,18.349764761126387,0.0013325912689128412,6.0,38.919988467364874,-12044.877002662515,inf,inf
9.357142857142858,342.8571428571429,19.24221914808348,0.0013153975673593692,6.0,37.16207585942242,-11976.099648399484,inf,inf
10.0,342.8571428571429,16.333538283598916,0.0012963779064668307,5.0,52.602612125894424,-12538.51159554271,inf,inf
1.0,388.57142857142856,30.765790107690552,0.002455371362184878,19.0,7.2186247962999825,-4182.832352532538,18.879521083853483,inf
1.6428571428571428,388.57142857142856,26.581140105971794,0.002115544570660587,14.0,11.35363603020249,-7625.861174740892,78.56221142016905,inf
2.2857142857142856,388.57142857142856,24.531935957448965,0.0018898484655895875,12.0,14.370877335078788,-8897.30018471971,inf,inf
2.928571428571429,388.57142857142856,23.746205002926224,0.001749833921689034,11.0,16.21692376270073,-9449.864650586427,inf,inf
3.5714285714285716,388.57142857142856,22.2510870070083,0.001650204621419249,10.0,19.061735750318384,-10091.485172027335,inf,inf
4.214285714285714,388.57142857142856,20.41899922744075,0.001579333217132452,9.0,23.10969966062559,-10733.790933494127,inf,inf
4.857142857142858,388.57142857142856,21.407242410211193,0.0015381640282348646,9.0,22.07114677972961,-10607.935122779196,inf,inf
5.5,388.57142857142856,19.216120514938265,0.0014963308010360794,8.0,27.69673612027938,-11253.40713224312,inf,inf
6.142857142857143,388.57142857142856,20.04042822156487,0.0014683149804329383,8.0,26.591495170057065,-11164.637425284554,inf,inf
6.7857142857142865,388.57142857142856,20.828545950284205,0.0014443873092955515,8.0,25.618018782255756,-11080.536603912235,inf,inf
7.428571428571429,388.57142857142856,18.40385989127221,0.0014187121407133435,7.0,33.17733907788987,-11707.707363974072,inf,inf
8.071428571428573,388.57142857142856,19.134946089239065,0.0013993054000388141,7.0,31.950418498622845,-11642.753927000987,inf,inf
8.714285714285715,388.57142857142856,19.855164181560916,0.00138187237398829,7.0,30.830667802449177,-11579.027326893762,inf,inf
9.357142857142858,388.57142857142856,17.23041799524504,0.0013628725666160225,6.0,41.50107141220043,-12170.757187890335,inf,inf
10.0,388.57142857142856,17.87379911636346,0.0013481131582342774,6.0,40.05801888138644,-12126.079625504199,inf,inf
1.0,434.2857142857143,32.26852605894382,0.002554092002085145,20.0,6.538332745548335,-3202.0221432615017,15.52067809438678,inf
1.6428571428571428,434.2857142857143,28.680859372860105,0.00219189568030727,15.0,9.820942962949463,-6689.294779527505,42.23968709324969,inf
2.2857142857142856,434.2857142857143,23.95238871548613,0.001916910387272719,12.0,14.718592229947165,-9009.451666470306,inf,inf
2.928571428571429,434.2857142857143,23.07211081673907,0.0017762024962850501,11.0,16.69073104080325,-9569.441799179085,inf,inf
3.5714285714285716,434.2857142857143,21.47028718711052,0.001678660200236127,10.0,19.754944914727368,-10217.399348950968,inf,inf
