water_price_usd_per_m3,device_lifetime_years,daily_yield_kg_m2,thermal_efficiency,n_cycles_per_day,lcow_usd_per_m3,npv_usd_per_m2,payback_years_simple,payback_years_discounted
1.0,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-11642.258142304012,inf,inf
2.7142857142857144,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-10829.942780918931,inf,inf
4.428571428571429,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-10017.627419533852,inf,inf
6.142857142857142,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-9205.312058148771,inf,inf
7.857142857142857,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-8392.996696763692,181.60794875094538,inf
9.571428571428571,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-7580.681335378611,51.55373107723085,inf
11.285714285714285,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-6768.365973993531,30.04075681947439,inf
13.0,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-5956.050612608451,21.195879728356715,inf
14.714285714285714,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-5143.73525122337,16.374691742416193,inf
16.428571428571427,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-4331.419889838291,13.340319538409775,inf
18.142857142857142,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-3519.1045284532092,11.254722061290046,29.968018380670944
19.857142857142858,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-2706.7891670681292,9.733073791493199,19.594220530394484
21.57142857142857,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-1894.4738056830502,8.573877986202955,15.04756761916531
23.285714285714285,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-1082.1584442979702,7.661414031068038,12.332293163315255
25.0,10.0,21.497021836022054,0.0016638301493752347,10.0,25.569468661878936,-269.84308291289017,6.924484644383018,10.490293255479605
1.0,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-11829.357339385118,inf,inf
2.7142857142857144,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-10965.121872391528,inf,inf
4.428571428571429,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-10100.886405397936,inf,inf
6.142857142857142,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-9236.650938404346,inf,inf
7.857142857142857,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-8372.415471410754,181.60794875094538,inf
9.571428571428571,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-7508.180004417163,51.55373107723085,inf
11.285714285714285,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-6643.944537423572,30.04075681947439,inf
13.0,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-5779.709070429981,21.195879728356715,inf
14.714285714285714,11.0,21.497021836022054,0.0016638301493752347,10.0,24.464552278053738,-4915.473603436389,16.374691742416193,inf
