variable,avg_increase_sensitivity,avg_decrease_sensitivity,max_abs_effect,num_point_sensitivities
vapor_gap_mm,0.09322345844971441,0.1043905266757283,0.1043905266757283,702020
fin_area_ratio,0.011677991988732393,0.021013371904824676,0.021013371904824676,702240
hydrogel_thickness_mm,0.01080830367677771,0.016814134395691207,0.016814134395691207,702020
